,kron,road,soc-LiveJournal,soc-orkut,soc-twitter
Gunrock,1.412074,372.028987,3.118674,1.854420,12.754043,
Groute,-,-,-,-,-,
SEP-Graph,2.781625,84.898500,7.859125,5.102875,30.785500,
