,kron,road,soc-LiveJournal,soc-orkut,soc-twitter
Gunrock,55.084387,638.816198,30.690273,66.370567,189.612389,
Groute,-,-,-,-,-,
SEP-Graph,27.709375,181.884123,23.647000,32.056750,124.250500,
