,kron,road,soc-LiveJournal,soc-orkut,soc-twitter
Gunrock,37.247038,1706.699705,55.420160,132.600212,178.954983,
Groute,-,-,-,-,-,
SEP-Graph,26.510000,162.828444,40.932444,73.934888,142.341220,
